id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-09-02T22:12:50;RAM Focused;PAID;CASH_ON_DELIVERY;2020-09-03T06:34:57;64379;Australia 1080p Intranet;1
2;2020-09-02T19:27:06;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-09-02T23:22:47;8068;Baby;2
3;2020-09-03T05:08:54;monitor;CANCELLED;CREDIT_CARD;2020-09-02T21:00:16;97394;Rubber synergy program;3
4;2020-09-02T17:42:56;EXE parse strategic;CANCELLED;PAYPAL;2020-09-02T21:48:06;2286;HTTP;4
5;2020-09-02T13:58:07;black Awesome;PAID;CASH_ON_DELIVERY;2020-09-02T14:00:01;49531;Agent SDD auxiliary;5
6;2020-09-03T00:30:41;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-09-02T16:22:51;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-09-03T03:04:17;back up Toys;ISSUED;PAYPAL;2020-09-03T05:59:56;10756;Arizona Awesome Fresh Soap system;7
8;2020-09-02T23:36:27;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-09-02T23:25:30;50263;deploy;8
9;2020-09-02T17:26:25;Credit Card Account;CANCELLED;CREDIT_CARD;2020-09-03T03:49:34;308;payment Fantastic Fresh Soap;9
10;2020-09-03T03:50:48;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-09-03T07:36:37;94911;Granite Rubber Pizza;10
